username,name,location,company,public_repos,followers,account_created,commit_count_90d,repos_checked,pr_count_90d,after_hours_prs,async_ratio,review_comments_90d,collaboration_index,collected_at,lookback_days
gvanrossum,Guido van Rossum,San Francisco Bay Area,Microsoft,28,26009,2012-11-26T18:46:40Z,52,4,5,2,0.4,3,6.0,2026-04-13T05:41:07.374096+00:00,90
sethmlarson,Seth Larson,"Minneapolis, MN",@psf ,144,912,2016-04-17T21:13:22Z,160,30,9,3,0.333,4,8.0,2026-04-13T05:41:57.839702+00:00,90
AA-Turner,Adam Turner,London,,127,276,2014-10-08T16:52:45Z,247,8,0,0,0.0,0,0.0,2026-04-13T05:42:06.136977+00:00,90
rgommers,Ralf Gommers,Netherlands,Quansight,188,883,2009-06-23T23:16:22Z,142,25,12,2,0.167,23,46.0,2026-04-13T05:42:45.039532+00:00,90
charris,Charles Harris,"Logan, Utah; USA",Retired,24,270,2009-04-24T04:37:21Z,81,3,17,9,0.529,5,10.0,2026-04-13T05:43:10.714427+00:00,90
mattip,Matti Picus,,Quansight Labs,71,487,2011-06-01T19:55:55Z,175,15,12,3,0.25,5,10.0,2026-04-13T05:43:43.223388+00:00,90
ev-br,Evgeni Burovski,,,86,107,2012-08-11T06:14:58Z,89,11,2,0,0.0,18,36.0,2026-04-13T05:44:07.062961+00:00,90
ilayn,Ilhan Polat,"Amsterdam, Netherlands",Sandvik,11,87,2012-01-04T13:03:44Z,178,7,4,1,0.25,18,36.0,2026-04-13T05:44:27.833116+00:00,90
wesm,Wes McKinney,"Nashville, TN",@posit-pbc,134,16308,2010-07-12T13:24:25Z,800,13,30,17,0.567,0,0.0,2026-04-13T05:45:05.988981+00:00,90
rhshadrach,Richard Shadrach,"Cincinnati, OH",84.51,16,102,2018-12-03T12:20:52Z,50,2,1,0,0.0,13,26.0,2026-04-13T05:45:42.523918+00:00,90
glemaitre,Guillaume Lemaitre,Paris-Saclay / France,OSS Engineeer @probabl-ai ,300,885,2014-04-30T22:12:28Z,60,12,21,3,0.143,48,96.0,2026-04-13T05:47:30.302300+00:00,90
ezyang,Edward Z. Yang,"New York, NY",,254,3605,2008-06-13T04:11:18Z,104,7,8,2,0.25,21,42.0,2026-04-13T05:49:09.745599+00:00,90
Kludex,Marcelo Trylesinski,"Utrecht, Netherlands",@pydantic,160,3014,2014-04-20T14:19:16Z,170,16,9,0,0.0,4,8.0,2026-04-13T05:49:53.152521+00:00,90
mitsuhiko,Armin Ronacher,Austria,Earendil,334,24204,2008-04-15T10:03:57Z,457,28,8,3,0.375,0,0.0,2026-04-13T05:50:33.258058+00:00,90
adriangb,Adrian Garcia Badaracco,"Chicago, IL",,193,658,2012-05-19T15:47:00Z,123,6,10,7,0.7,28,56.0,2026-04-13T05:50:58.830077+00:00,90
hynek,Hynek Schlawack,Berlin,Variomedia AG,29,1875,2008-12-18T12:10:53Z,144,15,5,0,0.0,0,0.0,2026-04-13T05:51:11.137108+00:00,90
zanieb,Zanie Blue,"Minneapolis, MN",@astral-sh,127,982,2012-10-18T05:33:47Z,372,22,16,5,0.312,54,100.0,2026-04-13T05:52:15.650380+00:00,90
antfu,Anthony Fu,undefined,@vercel team @nuxt,392,39081,2015-02-28T16:55:50Z,286,30,42,25,0.595,7,14.0,2026-04-13T05:52:42.092689+00:00,90
posva,Eduardo San Martin Morote,Berlin,@vercel,346,6498,2011-03-11T14:29:46Z,314,30,4,0,0.0,3,6.0,2026-04-13T05:53:12.082539+00:00,90
pi0,Pooya Parsa,Netherlands,@unjs . @nitrojs . @h3js . @nuxt ,426,4966,2013-08-04T06:04:05Z,167,30,4,2,0.5,10,20.0,2026-04-13T05:53:51.439824+00:00,90
eps1lon,"Sebastian ""Sebbie"" Silbermann","Berlin, Germany",,372,1693,2015-05-07T08:08:10Z,167,19,28,5,0.179,14,28.0,2026-04-13T05:55:00.169062+00:00,90
bvaughn,Brian Vaughn,"New York, NY",Citadel,169,11622,2008-10-18T01:05:50Z,150,5,5,2,0.4,0,0.0,2026-04-13T05:55:07.879066+00:00,90
mcollina,Matteo Collina,"Forlì, Italy",@platformatic,635,11083,2009-02-05T22:24:19Z,244,30,16,4,0.25,16,32.0,2026-04-13T05:55:47.580263+00:00,90
jasnell,James M Snell,"Clovis, California",@cloudflare,227,2024,2010-10-14T20:59:04Z,116,14,11,8,0.727,20,40.0,2026-04-13T05:56:13.282181+00:00,90
sindresorhus,Sindre Sorhus,,,1134,78520,2009-12-20T22:57:02Z,337,30,4,2,0.5,2,4.0,2026-04-13T05:56:50.364631+00:00,90
dtolnay,David Tolnay,"Redwood City, California",0xF9BA143B95FF6D82,122,9294,2012-07-09T03:55:40Z,219,30,2,2,1.0,0,0.0,2026-04-13T05:57:31.546436+00:00,90
BurntSushi,Andrew Gallant,"Marlborough, MA",@astral-sh,182,12212,2010-10-27T16:54:30Z,83,12,0,0,0.0,0,0.0,2026-04-13T05:57:41.346641+00:00,90
nnethercote,Nicholas Nethercote,"Melbourne, Australia",,86,1003,2012-07-09T02:32:15Z,206,6,4,4,1.0,9,18.0,2026-04-13T05:57:53.458559+00:00,90
nikomatsakis,Niko Matsakis,"Boston, MA",,301,4448,2009-11-19T07:01:48Z,931,26,7,5,0.714,34,68.0,2026-04-13T05:58:17.626086+00:00,90
ehuss,Eric Huss,,,181,270,2008-12-29T20:01:15Z,123,20,25,17,0.68,19,38.0,2026-04-13T05:58:42.487864+00:00,90
mvdan,Daniel Martí,"London, United Kingdom",@cue-lang @cue-labs,65,2525,2013-02-12T17:52:26Z,85,9,4,2,0.5,0,0.0,2026-04-13T05:59:56.344257+00:00,90
bradfitz,Brad Fitzpatrick,Seattle,Tailscale,167,13248,2008-03-09T05:08:14Z,104,18,17,7,0.412,23,46.0,2026-04-13T06:00:14.538161+00:00,90
tianon,Tianon Gravi,"Las Vegas, NV","@docker, but thoughts, comments, commits generally his own (""do not represent the views of Docker, Inc"" etc etc)",321,2425,2009-12-03T22:30:20Z,783,30,19,8,0.421,12,24.0,2026-04-13T06:00:58.793224+00:00,90
thaJeztah,Sebastiaan van Stijn,Netherlands,thaJeztah,397,1907,2012-06-01T10:11:02Z,636,30,28,2,0.071,19,38.0,2026-04-13T06:01:46.531645+00:00,90
cpuguy83,Brian Goff,"Seattle, WA",@Microsoft,244,859,2011-05-19T20:38:00Z,137,25,8,5,0.625,12,24.0,2026-04-13T06:02:05.313895+00:00,90
