github_username,so_user_id,so_display_name,match_evidence,so_reputation,so_location,gh_chronotype,so_chronotype,gh_peak_hour,so_peak_hour,peak_hour_diff,exact_match,adjacent_match,close_match,opposite_ends,n_gh_commits,n_so_posts,so_first_post,so_last_post,data_provenance
gvanrossum,818274,Guido van Rossum,exact_display_name,16970,San Francisco Bay Area,owl,daytime,0.65,16.07,8.58,False,False,False,False,52,249,2011-07-28,2024-03-13,real
mitsuhiko,19990,Armin Ronacher,exact_display_name,32659,"Carinthia, Austria",evening,lark,21.91,10.18,11.73,False,False,False,False,457,145,2008-09-21,2020-01-04,real
sindresorhus,64949,Sindre Sorhus,exact_display_name,63668,Norway,flexible,flexible,12.99,9.35,3.65,True,False,True,False,337,352,2009-02-11,2024-08-20,real
mcollina,908571,Matteo Collina,exact_display_name,1525,,lark,lark,9.01,10.0,0.99,True,False,True,False,244,7,2011-08-23,2016-03-29,real
bradfitz,455306,Brad Fitzpatrick,exact_display_name,3601,"San Francisco, CA",daytime,evening,16.81,22.6,5.79,False,True,True,False,104,13,2010-12-06,2017-05-23,real
nikomatsakis,1209714,Niko Matsakis,exact_display_name,2196,,flexible,daytime,17.21,18.0,0.79,False,False,False,False,931,6,2012-02-14,2018-08-28,real
thockin,3653449,Tim Hockin,exact_display_name,3662,,daytime,evening,18.51,21.66,3.15,False,True,True,False,203,98,2015-07-09,2022-12-25,real
potiuk,516701,Jarek Potiuk,exact_display_name,20314,"Warsaw, Poland",flexible,daytime,21.04,18.59,2.46,False,False,False,False,323,305,2011-03-11,2025-09-05,real
jasnell,572811,James Snell,exact_display_name,601,,daytime,lark,16.28,10.77,5.51,False,True,True,False,116,30,2011-01-20,2022-01-08,real
simonw,6083,Simon Willison,exact_display_name,15960,"San Francisco, CA, USA",evening,daytime,20.52,12.03,8.49,False,True,True,False,286,49,2009-01-06,2023-02-27,real
Kludex,13087720,Marcelo Trylesinski,exact_display_name,854,Netherlands,daytime,lark,14.22,6.77,7.45,False,True,True,False,170,18,2020-03-19,2024-01-09,real
charris,1487355,Charles Harris,exact_display_name,1094,"Utah, United States",evening,owl,19.89,4.63,8.75,False,True,True,False,81,24,2013-06-14,2018-09-23,real
wesm,776560,Wes McKinney,exact_display_name,106581,"New York, NY, United States",daytime,evening,13.94,20.4,6.46,False,True,True,False,800,285,2011-05-30,2021-05-18,real
rhshadrach,10285434,Richard Shadrach,exact_display_name,59,,daytime,owl,17.73,2.0,8.27,False,False,False,False,50,5,2018-08-28,2025-02-08,real
ezyang,23845,Edward Z. Yang,exact_display_name,26890,United States,owl,flexible,3.25,19.23,8.02,False,False,False,False,104,346,2008-09-30,2025-02-04,real
AkihiroSuda,5167443,Akihiro Suda,exact_display_name,66,,lark,lark,7.69,5.0,2.69,True,False,True,False,74,5,2015-07-29,2020-10-29,real
deads2k,371064,David Eads,exact_display_name,1512,,daytime,daytime,15.26,15.4,0.14,True,False,True,False,206,28,2010-07-27,2014-03-16,real
nical,10015715,Nicolas Silva,exact_display_name,649,,daytime,daytime,15.42,15.68,0.27,True,False,True,False,70,34,2018-07-01,2021-08-27,real
cpcloud,564538,Phillip Cloud,exact_display_name,25912,United States,daytime,daytime,14.39,15.39,1.0,True,False,True,False,248,231,2011-04-03,2024-05-26,real
cournape,11465,David Cournapeau,exact_display_name,81306,UK,daytime,flexible,12.0,14.7,2.7,False,False,False,False,85,207,2008-09-16,2014-01-29,real
