developer_id,match_evidence,gh_chronotype,so_chronotype,gh_peak_hour,so_peak_hour,peak_hour_diff,exact_match,adjacent_match,close_match,opposite_ends,n_gh_commits,n_so_posts,so_first_post,so_last_post,data_provenance
D30,exact_display_name,owl,daytime,0.65,16.07,8.58,False,False,False,False,50-99,100-249,2011,2024,real
D36,exact_display_name,evening,lark,21.91,10.18,11.73,False,False,False,False,250-499,100-249,2008,2020,real
D31,exact_display_name,flexible,flexible,12.99,9.35,3.65,True,False,True,False,250-499,250-499,2009,2024,real
D37,exact_display_name,lark,lark,9.01,10.0,0.99,True,False,True,False,100-249,<50,2011,2016,real
D24,exact_display_name,daytime,evening,16.81,22.6,5.79,False,True,True,False,100-249,<50,2010,2017,real
D08,exact_display_name,flexible,daytime,17.21,18.0,0.79,False,False,False,False,500-999,<50,2012,2018,real
D35,exact_display_name,daytime,evening,18.51,21.66,3.15,False,True,True,False,100-249,50-99,2015,2022,real
D01,exact_display_name,flexible,daytime,21.04,18.59,2.46,False,False,False,False,250-499,250-499,2011,2025,real
D15,exact_display_name,daytime,lark,16.28,10.77,5.51,False,True,True,False,100-249,<50,2011,2022,real
D19,exact_display_name,evening,daytime,20.52,12.03,8.49,False,True,True,False,250-499,<50,2009,2023,real
D20,exact_display_name,daytime,lark,14.22,6.77,7.45,False,True,True,False,100-249,<50,2020,2024,real
D28,exact_display_name,evening,owl,19.89,4.63,8.75,False,True,True,False,50-99,<50,2013,2018,real
D23,exact_display_name,daytime,evening,13.94,20.4,6.46,False,True,True,False,500-999,250-499,2011,2021,real
D04,exact_display_name,daytime,owl,17.73,2.0,8.27,False,False,False,False,50-99,<50,2018,2025,real
D10,exact_display_name,owl,flexible,3.25,19.23,8.02,False,False,False,False,100-249,250-499,2008,2025,real
D06,exact_display_name,lark,lark,7.69,5.0,2.69,True,False,True,False,50-99,<50,2015,2020,real
D42,exact_display_name,daytime,daytime,15.26,15.4,0.14,True,False,True,False,100-249,<50,2010,2014,real
D22,exact_display_name,daytime,daytime,15.42,15.68,0.27,True,False,True,False,50-99,<50,2018,2021,real
D02,exact_display_name,daytime,daytime,14.39,15.39,1.0,True,False,True,False,100-249,100-249,2011,2024,real
D26,exact_display_name,daytime,flexible,12.0,14.7,2.7,False,False,False,False,50-99,100-249,2008,2014,real
