developer_id,public_repos,followers,account_created,commit_count_90d,repos_checked,pr_count_90d,after_hours_prs,async_ratio,review_comments_90d,collaboration_index,collected_at,lookback_days
D30,<50,10k-49.9k,2012,50-99,4,5,2,0.4,<50,6.0,2026,90
D05,100-249,500-999,2016,100-249,30,9,3,0.333,<50,8.0,2026,90
D12,100-249,250-499,2014,100-249,8,0,0,0.0,<50,0.0,2026,90
D16,100-249,500-999,2009,100-249,25,12,2,0.167,<50,46.0,2026,90
D28,<50,250-499,2009,50-99,3,17,9,0.529,<50,10.0,2026,90
D41,50-99,250-499,2011,100-249,15,12,3,0.25,<50,10.0,2026,90
D29,50-99,100-249,2012,50-99,11,2,0,0.0,<50,36.0,2026,90
D14,<50,50-99,2012,100-249,7,4,1,0.25,<50,36.0,2026,90
D23,100-249,10k-49.9k,2010,500-999,13,30,17,0.567,<50,0.0,2026,90
D04,<50,100-249,2018,50-99,2,1,0,0.0,<50,26.0,2026,90
D03,250-499,500-999,2014,50-99,12,21,3,0.143,<50,96.0,2026,90
D10,250-499,1k-4.9k,2008,100-249,7,8,2,0.25,<50,42.0,2026,90
D20,100-249,1k-4.9k,2014,100-249,16,9,0,0.0,<50,8.0,2026,90
D36,250-499,10k-49.9k,2008,250-499,28,8,3,0.375,<50,0.0,2026,90
D13,100-249,500-999,2012,100-249,6,10,7,0.7,<50,56.0,2026,90
D34,<50,1k-4.9k,2008,100-249,15,5,0,0.0,<50,0.0,2026,90
D39,100-249,500-999,2012,250-499,22,16,5,0.312,50-99,100.0,2026,90
D09,250-499,10k-49.9k,2015,250-499,30,42,25,0.595,<50,14.0,2026,90
D21,250-499,5k-9.9k,2011,250-499,30,4,0,0.0,<50,6.0,2026,90
D25,250-499,1k-4.9k,2013,100-249,30,4,2,0.5,<50,20.0,2026,90
D40,250-499,1k-4.9k,2015,100-249,19,28,5,0.179,<50,28.0,2026,90
D17,100-249,10k-49.9k,2008,100-249,5,5,2,0.4,<50,0.0,2026,90
D37,500-999,10k-49.9k,2009,100-249,30,16,4,0.25,<50,32.0,2026,90
D15,100-249,1k-4.9k,2010,100-249,14,11,8,0.727,<50,40.0,2026,90
D31,1k-4.9k,>=50k,2009,250-499,30,4,2,0.5,<50,4.0,2026,90
D45,100-249,5k-9.9k,2012,100-249,30,2,2,1.0,<50,0.0,2026,90
D11,100-249,10k-49.9k,2010,50-99,12,0,0,0.0,<50,0.0,2026,90
D43,50-99,1k-4.9k,2012,100-249,6,4,4,1.0,<50,18.0,2026,90
D08,250-499,1k-4.9k,2009,500-999,26,7,5,0.714,<50,68.0,2026,90
D27,100-249,250-499,2008,100-249,20,25,17,0.68,<50,38.0,2026,90
D07,50-99,1k-4.9k,2013,50-99,9,4,2,0.5,<50,0.0,2026,90
D24,100-249,10k-49.9k,2008,100-249,18,17,7,0.412,<50,46.0,2026,90
D18,250-499,1k-4.9k,2009,500-999,30,19,8,0.421,<50,24.0,2026,90
D44,250-499,1k-4.9k,2012,500-999,30,28,2,0.071,<50,38.0,2026,90
D46,100-249,500-999,2011,100-249,25,8,5,0.625,<50,24.0,2026,90
D06,250-499,1k-4.9k,2014,50-99,30,6,1,0.167,<50,80.0,2026,90
D35,50-99,1k-4.9k,2013,100-249,5,1,1,1.0,<50,90.0,2026,90
D33,250-499,1k-4.9k,2008,250-499,30,18,9,0.5,<50,74.0,2026,90
D42,100-249,500-999,2014,100-249,6,17,4,0.235,50-99,100.0,2026,90
D01,100-249,500-999,2011,250-499,8,18,8,0.444,<50,32.0,2026,90
D32,250-499,500-999,2012,100-249,10,6,0,0.0,<50,22.0,2026,90
D22,100-249,250-499,2010,50-99,8,8,4,0.5,<50,0.0,2026,90
D19,500-999,10k-49.9k,2008,250-499,30,7,2,0.286,<50,0.0,2026,90
D02,50-99,500-999,2010,100-249,13,24,3,0.125,<50,0.0,2026,90
D38,50-99,<50,2019,100-249,6,30,7,0.233,<50,38.0,2026,90
D26,100-249,500-999,2008,50-99,1,0,0,0.0,<50,0.0,2026,90
