constant,value,is_default,n_lark,n_daytime,n_evening,n_owl,n_flexible,label_agreement_with_default,mean_dyad_total,aligned_vs_mismatch_diff,cohens_d
entropy_threshold,0.8,False,1,7,3,5,30,0.435,32.197,3.849,2.371
entropy_threshold,0.85,False,2,17,5,6,16,0.739,32.197,3.51,2.146
entropy_threshold,0.88,False,5,17,6,7,11,0.848,32.197,3.329,1.931
entropy_threshold,0.9,False,6,19,9,7,5,0.978,32.197,3.325,1.944
entropy_threshold,0.92,True,6,19,9,8,4,1.0,32.197,3.358,1.963
entropy_threshold,0.94,False,7,21,9,8,1,0.935,32.197,3.345,1.97
entropy_threshold,0.96,False,7,21,10,8,0,0.913,32.197,3.345,1.969
entropy_threshold,0.99,False,7,21,10,8,0,0.913,32.197,3.345,1.969
k_clusters,2,False,5,20,8,9,4,0.63,32.166,2.981,1.644
k_clusters,3,True,6,19,9,8,4,1.0,32.197,3.358,1.963
k_clusters,4,False,6,17,12,7,4,0.739,32.159,3.158,1.765
k_clusters,5,False,8,17,11,6,4,0.674,32.068,3.286,1.851
min_commits,5,False,6,19,9,8,4,1.0,32.197,3.358,1.963
min_commits,10,True,6,19,9,8,4,1.0,32.197,3.358,1.963
min_commits,20,False,6,19,9,8,4,1.0,32.197,3.358,1.963
min_commits,30,False,6,19,9,8,4,1.0,32.197,3.358,1.963
min_commits,50,False,6,19,9,8,4,1.0,32.197,3.358,1.963
boundary_shift_h,-2.0,False,4,20,8,10,4,0.63,32.197,3.134,1.768
boundary_shift_h,-1.0,False,4,20,9,9,4,0.739,32.197,3.112,1.747
boundary_shift_h,0.0,True,6,19,9,8,4,1.0,32.197,3.358,1.963
boundary_shift_h,1.0,False,7,21,7,7,4,0.891,32.197,3.324,1.965
boundary_shift_h,2.0,False,8,21,6,7,4,0.848,32.197,3.349,1.995
