username,chronotype,confidence,peak_hour,n_commits
AA-Turner,owl,0.364,4.0,247
adriangb,evening,0.496,22.44,123
AkihiroSuda,lark,0.446,7.69,74
antfu,owl,0.514,2.0,286
bradfitz,daytime,0.442,16.81,104
BurntSushi,daytime,0.458,18.73,83
bvaughn,evening,0.507,22.68,150
charris,evening,0.457,19.89,81
cournape,daytime,0.4,12.0,85
cpcloud,daytime,0.476,14.39,248
cpuguy83,daytime,0.482,18.0,137
deads2k,daytime,0.388,15.26,206
dims,owl,0.384,1.22,463
dtolnay,owl,0.571,2.96,219
ehuss,daytime,0.618,16.68,123
emilio,flexible,0.37446808510638296,9.5,235
eps1lon,lark,0.407,10.79,167
ev-br,lark,0.371,10.01,89
ezyang,owl,0.404,3.25,104
glemaitre,evening,0.5,21.73,60
gvanrossum,owl,0.442,0.65,52
hynek,daytime,0.361,14.41,144
ilayn,daytime,0.404,16.17,178
jasnell,daytime,0.388,16.28,116
Kludex,daytime,0.4,14.22,170
mattip,evening,0.446,19.5,175
mcollina,lark,0.434,9.01,244
mitsuhiko,evening,0.414,21.91,457
mvdan,evening,0.435,22.34,85
nical,daytime,0.371,15.42,70
nikomatsakis,flexible,0.37379162191192267,17.21,931
nnethercote,owl,0.549,4.02,206
pi0,daytime,0.443,11.33,167
posva,daytime,0.5,14.6,314
potiuk,flexible,0.4458204334365325,21.04,323
rgommers,evening,0.373,19.68,142
rhshadrach,daytime,0.54,17.73,50
sethmlarson,daytime,0.419,13.57,160
ShaharNaveh,lark,0.438,10.18,201
simonw,evening,0.58,20.52,286
sindresorhus,flexible,0.37091988130563797,12.99,337
thaJeztah,lark,0.45,10.94,636
thockin,daytime,0.394,18.51,203
tianon,owl,0.573,23.29,783
wesm,daytime,0.461,13.94,800
zanieb,daytime,0.411,14.45,372
