developer_id,chronotype,confidence,peak_hour,n_commits
D12,owl,0.364,4.0,247
D13,evening,0.496,22.44,123
D06,lark,0.446,7.69,74
D09,owl,0.514,2.0,286
D24,daytime,0.442,16.81,104
D11,daytime,0.458,18.73,83
D17,evening,0.507,22.68,150
D28,evening,0.457,19.89,81
D26,daytime,0.4,12.0,85
D02,daytime,0.476,14.39,248
D46,daytime,0.482,18.0,137
D42,daytime,0.388,15.26,206
D33,owl,0.384,1.22,463
D45,owl,0.571,2.96,219
D27,daytime,0.618,16.68,123
D32,flexible,0.37446808510638296,9.5,235
D40,lark,0.407,10.79,167
D29,lark,0.371,10.01,89
D10,owl,0.404,3.25,104
D03,evening,0.5,21.73,60
D30,owl,0.442,0.65,52
D34,daytime,0.361,14.41,144
D14,daytime,0.404,16.17,178
D15,daytime,0.388,16.28,116
D20,daytime,0.4,14.22,170
D41,evening,0.446,19.5,175
D37,lark,0.434,9.01,244
D36,evening,0.414,21.91,457
D07,evening,0.435,22.34,85
D22,daytime,0.371,15.42,70
D08,flexible,0.37379162191192267,17.21,931
D43,owl,0.549,4.02,206
D25,daytime,0.443,11.33,167
D21,daytime,0.5,14.6,314
D01,flexible,0.4458204334365325,21.04,323
D16,evening,0.373,19.68,142
D04,daytime,0.54,17.73,50
D05,daytime,0.419,13.57,160
D38,lark,0.438,10.18,201
D19,evening,0.58,20.52,286
D31,flexible,0.37091988130563797,12.99,337
D44,lark,0.45,10.94,636
D35,daytime,0.394,18.51,203
D18,owl,0.573,23.29,783
D23,daytime,0.461,13.94,800
D39,daytime,0.411,14.45,372
